Find companies,Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL,Find News Results,Find most recent news,News,Find open jobs,Find Open Jobs,Find Active Job Openings,Job Openings,Find company's competitors,Enrich Company (via Zenrows),Competitors,Enrich Company with Latest Fundraising Data,Get fundraising data for company,Enrich a company's latest funding round,Latest Funding,Enrich Company,Employee Count,Founded,Follower Count,Research company ICP with AI,Send table data
,Outdefine,"Meet Debbie by Outdefine. Debbie is your AI powered recruiter. Debbie works 24x7, helping you recruit and scale faster.

Talent can interview with Debbie to qualify for global jobs with companies hiring on Outdefine and earn DEF tokens.","Technology, Information and Internet",11-50 employees,Privately Held,"San Francisco, California",United States,outdefine.com,https://www.linkedin.com/company/outdefine,✅ 1 Results Found,,1,✅ 10+ matching jobs,,,42,❌ No competitors found,❌ Company Not Found,,✅ www.outdefine.com,,,2500000,Outdefine,19,2022,48430,Response,✅ Sent
,Dodo Payments,Dodo Payments helps digital businesses launch and accept global payments by offering 30+ local payment methods and automating payment compliance.,Financial Services,11-50 employees,Privately Held,"Dover, County of Kent",United States,dodopayments.com,https://www.linkedin.com/company/dodopayments,✅ 10 Results Found,,10,✅ 10+ matching jobs,,,16,❌ No competitors found,❌ Company Not Found,,❌ Company not found,✅ Funding Data Found,,1100000,Dodo Payments,42,2024,47750,Response,✅ Sent
,Boulo Solutions,"Successful recruiting starts with a connection.

We immerse ourselves in your requirements and company culture to find candidates who perfectly align with your vision. Our innovative technology and boutique approach accelerate hiring, boost retention, and build cohesive teams that last years.

With responsible AI and deep expertise behind the scenes, Boulo highlights skills and lived experiences of our candidates, enabling employers to select the best talent for current and future needs.

To post a job or view our active jobs, visit https://boulosolutions.com/",Staffing and Recruiting,11-50 employees,Privately Held,"Birmingham, AL",United States,,https://www.linkedin.com/company/boulo-solutions,,,,,,,,,,,,,,,,,,,,✅ Sent
,"RampUp, Inc.","RampUp helps companies find the right talent at the right time through our experienced recruitment teams and AI-powered technology. Find great talent while saving costs through our full-stack recruiting models that give you flexibility in hiring.

We work with a wide variety of industries and functional roles spanning sales, marketing, finance, design, engineering, Aesthetics, Medical Device, Digital Health Technology, Healthcare, HVAC and many more!",Staffing and Recruiting,11-50 employees,Privately Held,"Denver, Colorado",United States,rampupinc.com,https://www.linkedin.com/company/rampup-inc-,❌ No Results Found,✅ Found 1 events,1,❌ No Jobs Found,❌ No matching jobs found,❌ No Job Found,,❌ No competitors found,❌ Company Not Found,,❌ Company not found,✅ Funding Data Found,,1300000,"RampUp, Inc.",13,2015,37430,Response,✅ Sent
,Chezuba,"Born from a vision to facilitate every skill and every passion in the world in meeting a social need, Chezuba is a platform that connects corporations with customized volunteer opportunities for their employees.

Chezuba provides high-quality volunteering experiences in scalable, gamified and skill-based formats, as well as supports HR departments in creating seamless volunteer and employee giving experiences and tracking measures of success.  

Through the years, Chezuba has become a trusted leader in the virtual volunteering space, having curated high-quality experiences for large multi-national companies as well as SMBs.

To date, Chezuba has partnered with non-profits in 100+ countries. Chezuba is listed in Forbes 30 under 30 and has been accelerated by 500 startups. With offices in the US and India, Chezuba boasts of a truly diverse and passionate team who strive to make volunteering fun, easy and accessible to all.",Software Development,11-50 employees,Privately Held,"San Francisco, California",United States,chezuba.net,https://www.linkedin.com/company/chezuba,✅ 3 Results Found,,3,❌ No Jobs Found,❌ No matching jobs found,❌ No Job Found,,❌ No competitors found,❌ Company Not Found,,❌ Company not found,❌ No Funding Data Found,❌ Not found,,Chezuba,28,2018,30705,Response,✅ Sent
,Wripple,"Wripple is Marketing’s On-Demand Talent Platform. 

Founded by agency veterans, Wripple is 100% dedicated to providing marketers with boundless possibilities to create high-performing blended teams with greater speed, flexibility, and efficiency.   

Our Private Talent Marketplace, powered by advanced proprietary software with generative AI, connects vetted on-demand talent with top brands, in real time. For all your staffing priorities, hire contractors across 50+ roles to fully fold into your team. For project-based work, engage individual freelancers or ready-made teams curated to tackle a wide range of initiatives. Whatever your need, Wripple has you covered. 

Wripple's software simplifies and automates the entire hiring process. Set search criteria, find matches immediately, interview talent, and kick off in as little as 24 hours. Wripple handles compliance, onboarding, and administrative HR duties, like payment and insurance. Wripple Client Leads, all former agency professionals, are available throughout the process to ensure everyone is set up for success.  

And to maintain valuable relationships with on-demand talent, use Wripple’s Private Talent Pools. Whether sourced by Wripple or directly by you, Wripple offers the convenience of organizing all on-demand talent on a single platform. With talent pools, directly invite saved talent to propose on projects, easily re-hire for new projects, and view talent history with your company, all in one place. 

Learn how Wripple can help you build and manage a high-performing modern marketing workforce of blended teams.",Software Development,11-50 employees,Privately Held,"Atlanta, Georgia",United States,wripple.com,https://www.linkedin.com/company/wripple-inc,✅ 10 Results Found,,10,✅ 7 matching jobs,,,7,❌ No competitors found,❌ Company Not Found,,❌ Company not found,✅ Funding Data Found,,1220000,Wripple,28,2018,28177,Response,✅ Sent
,ThisWay Global,"Headquartered in the tech hub of Austin, Texas, our diverse team of leaders brings their organizational expertise from renowned companies like Apple, Walt Disney, and the Department of Defence. At ThisWay, we believe in the boundless opportunities that emerge when solutions are open, unbiased, and available to the world.
The platform has been developed by a diverse and experienced team from HR tech and artificial intelligence industries, all passionately solving a problem they experienced in their careers. The company is headquartered in Austin, Texas.",Software Development,11-50 employees,Privately Held,"Austin, Texas",United States,thiswayglobal.com,https://www.linkedin.com/company/thisway-global,✅ 6 Results Found,,6,✅ 10+ matching jobs,,,28,❌ No competitors found,❌ Company Not Found,,❌ Company not found,✅ Funding Data Found,,1100000,ThisWay Global,43,2016,28108,Response,✅ Sent
,Humantic AI,"Humantic AI provides previously impossible intelligence about the buyers to salespeople. While most AI solutions focus on the seller, Humantic AI is unique in focusing on the buyer instead. 

Our agentic Account Intelligence product and People Intelligence product equip sellers with complete Buyer Intelligence in minutes. Combined with Gen AI, it revolutionizes how buyers buy (or view your product). 

Our customers include industry pioneers across a variety of sectors like AWS, Mitel, and Sandler. It is also taught as part of coursework at universities like Indiana University and Baylor University.

We has also been recognized multiple times on G2 as a Leader, High Performer and Momentum Leader in 2025.",Software Development,11-50 employees,Privately Held,"Palo Alto, California",United States,humantic.ai,https://www.linkedin.com/company/humantic-ai,✅ 10 Results Found,,10,✅ 1 matching jobs,,,1,❌ No competitors found,❌ Company Not Found,,✅ www.humantic.ai,,,1500000,Humantic AI,33,2021,25010,Response,✅ Sent
,Narrato,"Narrato is an AI content platform for marketers and creators to create winning content collaboratively faster and better. Narrato turbo-boosts the entire content creation journey - from ideation, planning, creation, optimization, collaboration to publishing. 

Select features of the platform:
- AI content creation, ideation and optimization assistant
- Content project management including tasks assignment, tracking and management
- Content workflow automation
- Advanced content editor with an AI writing assistant that helps with content creation, readability, grammar and structuring improvements, and plagiarism checks
- Get automated SEO content briefs to scale the ranks on SERPs
- Content calendar, AI content ideas generator and other planning features
- Generate stunning AI images from text
- Create and use custom content templates
- Organize content and projects in folders and maintain content repository
- Content publishing automation
- Freelancer payments management
- Client content delivery, feedback and collaboration for marketing agencies
- Content marketplace to hire writers ( https://narrato.io/marketplace/ )

Other features: Guidelines and Brand Assets Repository, Multi-Language Support, Free Image Search, Integrations with ChatGPT and Canva, Custom Integrations with Zapier and API, Custom Reports and more.",Advertising Services,11-50 employees,Privately Held,"Lewes, Delaware",United States,narrato.io,https://www.linkedin.com/company/narratoio,✅ 6 Results Found,,6,❌ No Jobs Found,❌ No matching jobs found,❌ No Job Found,,❌ No competitors found,❌ Company Not Found,,✅ www.narrato.io,,,1000000,Narrato,29,2022,24893,Response,✅ Sent
,ClientSuccess,"ClientSuccess is revolutionizing the way SaaS companies manage, retain, and grow their existing customer base. We help SaaS companies proactively manage customer relationships, measure customer health, minimize churn and maximize revenue. 

We believe that SaaS is more than software and service. It’s about relationships. Think beyond acquisition and support. You want a customer for life. And not one that exists because they’re locked into a contract. You want a customer that chooses to partner with you because you help them accomplish their goals and succeed—through personal relationships and delightful experiences. 

You succeed when your customers succeed. In the day of big data, don’t forget that its people using your product. There are a lot of services offering to tell you what they’re doing, but that’s not enough. You need to know why. That’s how you reduce churn and increase revenue.

ClientSuccess is a simple yet sophisticated solution that both the front-line CSMs and the Executive team will love. For the CSMs, we bring together the tools, best practices, insights and analytics they need to proactively manage their customers. For the Executives, we deliver the deep analytics, metric and reports to provide a comprehensive view of the health of their SaaS business. Our clients love to use our solution. Every day, all day.",Software Development,11-50 employees,Privately Held,"Lehi, Utah",United States,clientsuccess.com,https://www.linkedin.com/company/clientsuccess,✅ 1 Results Found,,1,✅ 3 matching jobs,,,3,❌ No competitors found,❌ Company Not Found,,❌ Company not found,✅ Funding Data Found,,2500000,ClientSuccess,38,2014,24658,Response,✅ Sent
